Date,Room,Age Group,Time,Num_Children,Ratio,Staff_Needed
2024-01-02,Dinosaur Stomp,Pre-K,07:30:00,2,12,2
2024-01-02,Dinosaur Stomp,Pre-K,08:00:00,6,12,2
2024-01-02,Dinosaur Stomp,Pre-K,08:30:00,11,12,2
2024-01-02,Dinosaur Stomp,Pre-K,09:00:00,13,12,2
2024-01-02,Dinosaur Stomp,Pre-K,09:30:00,13,12,2
2024-01-02,Dinosaur Stomp,Pre-K,10:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,10:30:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,11:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,11:30:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,12:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,12:30:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,13:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,13:30:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,14:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,14:30:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,15:00:00,14,12,2
2024-01-02,Dinosaur Stomp,Pre-K,15:30:00,13,12,2
2024-01-02,Dinosaur Stomp,Pre-K,16:00:00,13,12,2
2024-01-02,Dinosaur Stomp,Pre-K,16:30:00,11,12,2
2024-01-02,Dinosaur Stomp,Pre-K,17:00:00,9,12,2
2024-01-02,Dinosaur Stomp,Pre-K,17:30:00,2,12,2
2024-01-02,Goodnight Moon,Infant,07:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,08:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,08:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,09:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,09:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,10:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,10:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,11:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,11:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,12:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,12:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,13:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,13:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,14:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,14:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,15:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,15:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,16:00:00,1,4,2
2024-01-02,Goodnight Moon,Infant,16:30:00,1,4,2
2024-01-02,Goodnight Moon,Infant,17:00:00,1,4,2
2024-01-02,Monkeys,Toddler,07:30:00,1,6,2
2024-01-02,Monkeys,Toddler,08:00:00,2,6,2
2024-01-02,Monkeys,Toddler,08:30:00,4,6,2
2024-01-02,Monkeys,Toddler,09:00:00,6,6,2
2024-01-02,Monkeys,Toddler,09:30:00,6,6,2
2024-01-02,Monkeys,Toddler,10:00:00,6,6,2
2024-01-02,Monkeys,Toddler,10:30:00,6,6,2
2024-01-02,Monkeys,Toddler,11:00:00,6,6,2
2024-01-02,Monkeys,Toddler,11:30:00,6,6,2
2024-01-02,Monkeys,Toddler,12:00:00,6,6,2
2024-01-02,Monkeys,Toddler,12:30:00,6,6,2
2024-01-02,Monkeys,Toddler,13:00:00,6,6,2
2024-01-02,Monkeys,Toddler,13:30:00,6,6,2
2024-01-02,Monkeys,Toddler,14:00:00,6,6,2
2024-01-02,Monkeys,Toddler,14:30:00,6,6,2
2024-01-02,Monkeys,Toddler,15:00:00,6,6,2
2024-01-02,Monkeys,Toddler,15:30:00,5,6,2
2024-01-02,Monkeys,Toddler,16:00:00,5,6,2
2024-01-02,Monkeys,Toddler,16:30:00,5,6,2
2024-01-02,Monkeys,Toddler,17:00:00,4,6,2
2024-01-02,Monkeys,Toddler,17:30:00,1,6,2
2024-01-02,Pandas,Toddler,07:00:00,1,6,2
2024-01-02,Pandas,Toddler,07:30:00,1,6,2
2024-01-02,Pandas,Toddler,08:00:00,3,6,2
2024-01-02,Pandas,Toddler,08:30:00,3,6,2
2024-01-02,Pandas,Toddler,09:00:00,4,6,2
2024-01-02,Pandas,Toddler,09:30:00,4,6,2
2024-01-02,Pandas,Toddler,10:00:00,4,6,2
2024-01-02,Pandas,Toddler,10:30:00,4,6,2
2024-01-02,Pandas,Toddler,11:00:00,4,6,2
2024-01-02,Pandas,Toddler,11:30:00,4,6,2
2024-01-02,Pandas,Toddler,12:00:00,4,6,2
2024-01-02,Pandas,Toddler,12:30:00,4,6,2
2024-01-02,Pandas,Toddler,13:00:00,4,6,2
2024-01-02,Pandas,Toddler,13:30:00,4,6,2
2024-01-02,Pandas,Toddler,14:00:00,4,6,2
2024-01-02,Pandas,Toddler,14:30:00,4,6,2
