Date,Room,Age Group,Time,Num_Children,Ratio,Staff_Needed
2023-01-03,Grampy Tom Preschool,Preschool,07:30:00,2,10,2
2023-01-03,Grampy Tom Preschool,Preschool,08:00:00,6,10,2
2023-01-03,Grampy Tom Preschool,Preschool,08:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,09:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,09:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,10:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,10:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,11:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,11:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,12:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,12:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,13:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,13:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,14:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,14:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,15:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,15:30:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,16:00:00,9,10,2
2023-01-03,Grampy Tom Preschool,Preschool,16:30:00,8,10,2
2023-01-03,Grampy Tom Preschool,Preschool,17:00:00,4,10,2
2023-01-03,Grampy Tom Toddlers,Toddler,07:30:00,1,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,08:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,08:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,09:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,09:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,10:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,10:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,11:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,11:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,12:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,12:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,13:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,13:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,14:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,14:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,15:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,15:30:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,16:00:00,2,6,2
2023-01-03,Grampy Tom Toddlers,Toddler,16:30:00,2,6,2
