Datetime,hour,minute,weekday,timestamp,Room,Staff_Needed_Predicted
2025-03-04 14:30:00,14,30,1,1741098600,Pre-K1,2.0
2025-03-04 15:00:00,15,0,1,1741100400,Pre-K1,2.0
2025-03-04 15:30:00,15,30,1,1741102200,Pre-K1,2.0
2025-03-04 16:00:00,16,0,1,1741104000,Pre-K1,2.0
2025-03-04 16:30:00,16,30,1,1741105800,Pre-K1,2.0
2025-03-04 17:00:00,17,0,1,1741107600,Pre-K1,2.0
2025-03-04 17:30:00,17,30,1,1741109400,Pre-K1,2.0
2025-03-04 18:00:00,18,0,1,1741111200,Pre-K1,2.0
2025-03-04 18:30:00,18,30,1,1741113000,Pre-K1,2.0
2025-03-04 19:00:00,19,0,1,1741114800,Pre-K1,2.0
2025-03-04 19:30:00,19,30,1,1741116600,Pre-K1,2.0
2025-03-04 20:00:00,20,0,1,1741118400,Pre-K1,2.0
2025-03-04 20:30:00,20,30,1,1741120200,Pre-K1,2.0
2025-03-04 21:00:00,21,0,1,1741122000,Pre-K1,2.0
2025-03-04 21:30:00,21,30,1,1741123800,Pre-K1,2.0
2025-03-04 22:00:00,22,0,1,1741125600,Pre-K1,2.0
2025-03-04 22:30:00,22,30,1,1741127400,Pre-K1,2.0
2025-03-04 23:00:00,23,0,1,1741129200,Pre-K1,2.0
2025-03-04 23:30:00,23,30,1,1741131000,Pre-K1,2.0
2025-03-05 00:00:00,0,0,2,1741132800,Pre-K1,2.0
2025-03-05 00:30:00,0,30,2,1741134600,Pre-K1,2.0
2025-03-05 01:00:00,1,0,2,1741136400,Pre-K1,2.0
2025-03-05 01:30:00,1,30,2,1741138200,Pre-K1,2.0
2025-03-05 02:00:00,2,0,2,1741140000,Pre-K1,2.0
2025-03-05 02:30:00,2,30,2,1741141800,Pre-K1,2.0
2025-03-05 03:00:00,3,0,2,1741143600,Pre-K1,2.0
2025-03-05 03:30:00,3,30,2,1741145400,Pre-K1,2.0
2025-03-05 04:00:00,4,0,2,1741147200,Pre-K1,2.0
2025-03-05 04:30:00,4,30,2,1741149000,Pre-K1,2.0
2025-03-05 05:00:00,5,0,2,1741150800,Pre-K1,2.0
2025-03-05 05:30:00,5,30,2,1741152600,Pre-K1,2.0
2025-03-05 06:00:00,6,0,2,1741154400,Pre-K1,2.0
2025-03-05 06:30:00,6,30,2,1741156200,Pre-K1,2.0
2025-03-05 07:00:00,7,0,2,1741158000,Pre-K1,2.0
2025-03-05 07:30:00,7,30,2,1741159800,Pre-K1,2.0
2025-03-05 08:00:00,8,0,2,1741161600,Pre-K1,2.0
2025-03-05 08:30:00,8,30,2,1741163400,Pre-K1,2.0
2025-03-05 09:00:00,9,0,2,1741165200,Pre-K1,2.0
2025-03-05 09:30:00,9,30,2,1741167000,Pre-K1,2.0
2025-03-05 10:00:00,10,0,2,1741168800,Pre-K1,2.0
2025-03-05 10:30:00,10,30,2,1741170600,Pre-K1,2.0
2025-03-05 11:00:00,11,0,2,1741172400,Pre-K1,2.0
2025-03-05 11:30:00,11,30,2,1741174200,Pre-K1,2.0
2025-03-05 12:00:00,12,0,2,1741176000,Pre-K1,2.0
2025-03-05 12:30:00,12,30,2,1741177800,Pre-K1,2.0
2025-03-05 13:00:00,13,0,2,1741179600,Pre-K1,2.0
2025-03-05 13:30:00,13,30,2,1741181400,Pre-K1,2.0
2025-03-05 14:00:00,14,0,2,1741183200,Pre-K1,2.0
2025-03-05 14:30:00,14,30,2,1741185000,Pre-K1,2.0
2025-03-05 15:00:00,15,0,2,1741186800,Pre-K1,2.0
2025-03-05 15:30:00,15,30,2,1741188600,Pre-K1,2.0
2025-03-05 16:00:00,16,0,2,1741190400,Pre-K1,2.0
2025-03-05 16:30:00,16,30,2,1741192200,Pre-K1,2.0
2025-03-05 17:00:00,17,0,2,1741194000,Pre-K1,2.0
2025-03-05 17:30:00,17,30,2,1741195800,Pre-K1,2.0
2025-03-05 18:00:00,18,0,2,1741197600,Pre-K1,2.0
